key,y
280,15
281,2
282,6
283,13
284,17
285,13
286,17
287,11
288,5
289,4
290,19
291,18
292,13
293,6
294,3
295,11
296,17
297,13
298,22
299,2
300,22
301,12
302,13
303,0
304,16
305,8
306,6
307,13
308,9
309,20
310,22
311,3
312,21
313,4
314,7
315,22
316,16
317,6
318,4
319,5
320,8
321,11
322,18
323,9
324,7
325,3
326,19
327,16
328,18
329,18
330,19
331,8
332,3
333,1
334,14
335,22
336,21
337,16
338,9
339,7
340,4
341,4
342,5
343,12
344,13
345,18
346,19
347,2
348,8
349,15
350,7
351,10
352,16
353,1
354,10
355,5
356,9
357,6
358,5
359,14
360,8
361,5
362,14
363,0
364,17
365,20
366,8
367,1
368,19
369,0
370,8
371,21
372,9
373,11
374,3
375,8
376,12
377,9
378,20
379,20
380,19
381,0
382,11
383,21
384,6
385,16
386,19
387,21
388,16
389,15
390,20
391,8
392,17
393,18
394,17
395,19
396,16
397,11
398,16
399,5
400,10
401,15
402,11
403,14
404,17
405,20
406,21
407,21
408,2
409,0
410,20
411,4
412,9
413,4
414,12
415,1
416,21
417,17
418,4
419,11
420,5
421,7
422,2
423,18
424,12
425,8
426,11
427,11
428,13
429,5
430,16
431,6
432,12
433,19
434,21
435,0
436,21
437,7
438,13
439,18
440,16
441,3
442,10
443,6
444,18
445,2
446,21
447,17
448,12
449,19
450,1
451,1
452,20
453,5
454,3
455,19
456,19
457,6
458,14
459,21
460,19
461,11
462,6
463,5
464,12
465,6
466,9
467,1
468,20
469,1
470,16
471,8
472,16
473,14
474,6
475,15
476,0
477,9
478,21
479,4
480,14
481,8
482,0
483,7
484,17
485,7
486,2
487,17
488,16
489,18
490,9
491,19
492,21
493,14
494,12
495,19
496,21
497,19
498,22
499,9
500,6
501,19
502,1
503,21
504,4
505,5
506,18
507,0
508,19
509,10
510,20
511,19
512,17
513,1
514,15
515,10
516,16
517,15
518,7
519,11
520,18
521,21
522,3
523,10
524,13
525,9
526,7
527,17
528,1
529,8
530,21
531,17
532,13
533,15
534,19
535,12
536,17
537,17
538,14
539,2
540,4
541,15
542,11
543,16
544,15
545,15
546,13
547,0
548,9
549,21
550,1
551,18
552,8
553,6
554,18
555,3
556,0
557,18
558,20
559,4
560,13
561,0
562,15
563,12
564,18
565,22
566,6
567,9
568,3
569,11
570,9
571,22
572,11
573,4
574,21
575,3
576,22
577,18
578,11
579,0
580,17
581,6
582,11
583,9
584,5
585,8
586,22
587,10
588,12
589,11
590,6
591,18
592,22
593,6
594,15
595,18
596,13
597,2
598,0
599,2
600,17
601,21
602,1
603,11
604,22
605,1
606,19
607,20
608,18
609,12
610,20
611,19
612,16
613,9
614,8
615,16
616,20
617,22
618,7
619,0
620,19
621,3
622,20
623,22
624,5
625,8
626,0
627,13
628,0
629,19
630,8
631,9
632,16
633,15
634,22
635,21
636,6
637,8
638,20
639,1
640,7
641,18
642,5
643,6
644,16
645,15
646,5
647,5
648,15
649,17
650,21
651,18
652,7
653,0
654,0
655,2
656,8
657,18
658,18
659,16
660,0
661,20
662,2
663,0
664,3
665,21
666,21
667,16
668,11
669,7
670,6
671,5
672,10
673,19
674,18
675,3
676,8
677,5
678,10
679,10
680,18
681,17
682,7
683,14
684,1
685,1
686,20
687,11
688,16
689,16
690,0
691,7
692,4
693,11
694,4
695,9
696,4
697,14
698,2
699,7
700,2
701,7
702,7
703,18
704,7
705,4
706,13
707,0
708,5
709,6
710,1
711,12
712,22
713,18
714,5
715,11
716,14
717,3
718,15
719,19
720,20
721,12
722,11
723,21
724,5
725,2
726,20
727,14
728,20
729,7
730,17
731,2
732,16
733,7
734,7
735,18
736,5
737,0
738,20
739,6
740,3
741,22
742,21
743,8
744,2
745,13
746,16
747,11
748,13
749,3
750,14
751,5
752,5
753,12
754,17
755,14
756,7
757,7
758,2
759,3
760,15
761,21
762,12
763,8
764,12
765,11
766,8
767,14
768,3
769,11
770,3
771,3
772,11
773,9
774,19
775,13
776,13
777,12
778,17
779,12
780,10
781,19
782,15
783,19
784,18
785,20
786,3
787,5
788,20
789,14
790,1
791,20
792,19
793,22
794,0
795,22
796,9
797,5
798,18
799,15
800,16
801,3
802,22
803,7
804,5
805,10
806,9
807,18
808,7
809,13
810,16
811,3
812,17
813,12
814,7
815,0
816,3
817,16
818,7
819,8
820,5
821,22
822,10
823,11
824,18
825,21
826,8
827,16
828,2
829,12
830,6
831,7
832,19
833,14
834,6
835,13
836,2
837,8
838,9
839,2
840,11
841,11
842,0
843,2
844,9
845,4
846,0
847,19
848,16
849,15
850,14
851,16
852,7
853,9
854,5
855,13
856,3
857,0
858,21
859,22
860,19
861,5
862,8
863,22
864,15
865,13
866,5
867,15
868,7
869,12
870,11
871,11
872,20
873,12
874,5
875,19
876,1
877,22
878,5
879,21
880,18
881,9
882,0
883,2
884,14
885,2
886,21
887,21
888,21
889,9
890,10
891,12
892,16
893,18
894,17
895,19
896,13
897,13
898,5
899,17
900,15
901,14
902,9
903,9
904,1
905,7
906,22
907,5
908,12
909,7
910,21
911,15
912,6
913,22
914,14
915,18
916,10
917,4
918,1
919,19
920,6
921,18
922,17
923,19
924,3
925,19
926,6
927,22
928,18
929,21
930,10
931,17
932,21
933,9
934,12
935,8
936,3
937,20
938,15
939,6
940,16
941,16
942,19
943,9
944,19
945,1
946,8
947,11
948,12
949,17
950,11
951,10
952,8
953,14
954,3
955,1
956,21
957,8
958,3
959,3
960,6
961,17
962,8
963,20
964,19
965,20
966,1
967,0
968,19
969,11
970,3
971,1
972,1
973,13
974,15
975,3
976,8
977,4
978,1
979,10
980,12
981,15
982,9
983,17
984,19
985,7
986,2
987,2
988,13
989,7
990,18
991,9
992,13
993,2
994,1
995,9
996,18
997,14
998,16
999,17
1000,3
1001,16
1002,21
1003,18
1004,14
1005,4
1006,6
1007,4
1008,21
1009,6
1010,14
1011,2
1012,12
1013,20
1014,10
1015,12
1016,12
1017,17
1018,22
1019,9
1020,17
1021,2
1022,2
1023,20
1024,20
1025,1
1026,10
1027,1
1028,9
1029,8
1030,1
1031,16
1032,7
1033,17
1034,22
1035,13
1036,10
1037,3
1038,4
1039,19
1040,8
1041,15
1042,15
1043,8
1044,5
1045,12
1046,22
1047,0
1048,16
1049,17
1050,2
1051,1
1052,5
1053,6
1054,13
1055,20
1056,2
1057,11
1058,7
1059,10
1060,4
1061,16
1062,15
1063,22
1064,5
1065,22
1066,3
1067,21
1068,7
1069,3
1070,4
1071,15
1072,22
1073,10
1074,0
1075,13
1076,20
1077,15
1078,0
1079,16
1080,21
1081,21
1082,4
1083,16
1084,12
1085,7
1086,10
1087,9
1088,9
1089,11
1090,8
1091,11
1092,14
1093,20
1094,13
1095,10
1096,6
1097,5
1098,15
1099,21
1100,1
1101,17
1102,0
1103,13
1104,6
1105,17
1106,18
1107,3
1108,9
1109,17
1110,18
1111,17
1112,2
1113,2
1114,0
1115,10
1116,10
1117,18
1118,12
1119,3
1120,9
1121,15
1122,12
1123,7
1124,21
1125,0
1126,16
1127,5
1128,6
1129,8
1130,14
1131,3
1132,3
1133,16
1134,1
1135,9
1136,2
1137,12
1138,14
1139,18
1140,9
1141,22
1142,2
1143,12
1144,16
1145,13
1146,20
1147,12
1148,14
1149,13
1150,20
1151,9
1152,1
1153,5
1154,16
1155,21
1156,6
1157,8
1158,9
1159,12
1160,1
1161,2
1162,21
1163,18
1164,19
1165,22
1166,13
1167,10
1168,11
1169,0
1170,20
1171,5
1172,9
1173,5
1174,9
1175,11
1176,20
1177,22
1178,4
1179,0
1180,20
1181,16
1182,4
1183,3
1184,7
1185,15
1186,20
1187,12
1188,8
1189,3
1190,3
1191,8
1192,0
1193,3
1194,15
1195,1
1196,15
1197,22
1198,19
1199,12
1200,5
1201,17
1202,11
1203,19
1204,18
1205,18
1206,4
1207,11
1208,13
1209,21
1210,9
1211,14
1212,2
1213,14
1214,13
1215,8
1216,11
1217,22
1218,2
1219,7
1220,3
1221,2
1222,6
1223,5
1224,10
1225,3
1226,2
1227,11
1228,21
1229,4
1230,2
1231,2
1232,19
1233,19
1234,20
1235,5
1236,5
1237,5
1238,11
1239,0
1240,21
1241,16
1242,3
1243,8
1244,17
1245,16
1246,8
1247,5
1248,7
1249,5
1250,11
1251,1
1252,15
1253,1
1254,16
1255,13
1256,5
1257,12
1258,11
1259,13
1260,8
1261,22
1262,12
1263,16
1264,18
1265,20
1266,9
1267,11
1268,8
1269,9
1270,19
1271,17
1272,11
1273,18
1274,5
1275,3
1276,9
1277,10
1278,5
1279,7
1280,15
1281,8
1282,18
1283,15
1284,12
1285,12
1286,18
1287,0
1288,12
1289,13
1290,3
1291,18
1292,8
1293,12
1294,9
1295,10
1296,5
1297,19
1298,4
1299,19
1300,19
1301,8
1302,8
1303,15
1304,4
1305,13
1306,17
1307,18
1308,13
1309,10
1310,1
1311,13
1312,2
1313,21
1314,4
1315,1
1316,13
1317,5
1318,16
1319,4
1320,22
1321,8
1322,21
1323,22
1324,10
1325,8
1326,15
1327,7
1328,22
1329,1
1330,20
1331,9
1332,15
1333,1
1334,15
1335,14
1336,22
1337,6
1338,12
1339,14
1340,16
1341,21
1342,13
1343,19
1344,16
1345,22
1346,20
1347,15
1348,6
1349,15
1350,8
1351,11
1352,17
1353,5
1354,22
1355,15
1356,8
1357,18
1358,9
1359,8
1360,3
1361,0
1362,20
1363,22
1364,5
1365,3
1366,8
1367,15
1368,7
1369,4
1370,10
1371,3
1372,21
1373,1
1374,3
1375,6
1376,22
1377,4
1378,3
1379,14
1380,6
1381,3
1382,9
1383,19
1384,8
1385,13
1386,7
1387,10
1388,15
1389,10
1390,3
1391,10
1392,13
1393,11
1394,16
1395,22
1396,7
1397,2
1398,21
1399,7
1400,11
1401,0
1402,9
1403,15
1404,10
1405,18
1406,2
1407,22
1408,15
1409,13
1410,16
1411,5
1412,8
1413,5
1414,2
1415,1
1416,12
1417,20
1418,20
1419,22
1420,3
1421,6
1422,20
1423,18
1424,10
1425,13
1426,15
1427,19
1428,4
1429,22
1430,0
1431,20
1432,10
1433,3
1434,6
1435,20
1436,0
1437,22
1438,0
1439,20
1440,0
1441,15
1442,20
1443,11
1444,2
1445,18
1446,10
1447,4
1448,13
1449,7
1450,9
1451,16
1452,11
1453,20
1454,21
1455,1
1456,12
1457,6
1458,10
1459,12
1460,4
1461,18
1462,15
1463,15
1464,5
1465,9
1466,15
1467,10
1468,11
1469,10
1470,20
1471,19
1472,9
1473,11
1474,19
1475,15
1476,12
1477,18
1478,21
1479,14
1480,17
1481,9
1482,12
1483,13
1484,7
1485,20
1486,21
1487,10
1488,5
1489,8
1490,16
1491,12
1492,9
1493,2
1494,20
1495,1
1496,5
1497,0
1498,16
1499,11
1500,18
1501,2
1502,14
1503,8
1504,12
1505,6
1506,12
1507,21
1508,18
1509,7
1510,4
1511,20
1512,2
1513,15
1514,6
1515,13
1516,2
1517,17
1518,2
1519,5
1520,2
1521,8
1522,19
1523,22
1524,13
1525,9
1526,6
1527,4
1528,17
1529,13
1530,22
1531,15
1532,11
1533,2
1534,9
1535,15
1536,1
1537,19
1538,2
1539,15
1540,19
1541,21
1542,12
1543,11
1544,19
1545,10
1546,21
1547,0
1548,11
1549,11
1550,14
1551,6
1552,4
1553,4
1554,7
1555,11
1556,9
1557,20
1558,8
1559,10
1560,10
1561,22
1562,12
1563,4
1564,2
1565,6
1566,21
1567,6
1568,9
1569,22
1570,16
1571,8
1572,11
1573,20
1574,7
1575,17
1576,1
1577,1
1578,20
1579,8
1580,20
1581,5
1582,6
1583,8
1584,2
1585,0
1586,5
1587,2
1588,11
1589,1
1590,19
1591,10
1592,7
1593,21
1594,19
1595,1
1596,21
1597,2
1598,17
1599,1
1600,15
1601,18
1602,7
1603,18
1604,20
1605,3
1606,1
1607,21
1608,10
1609,18
1610,10
1611,22
1612,22
1613,22
1614,7
1615,7
1616,10
1617,12
1618,9
1619,19
1620,21
1621,16
1622,11
1623,3
1624,13
1625,7
1626,1
1627,0
1628,6
1629,1
1630,11
1631,8
1632,18
1633,0
1634,1
1635,9
1636,9
1637,10
1638,18
1639,6
1640,6
1641,2
1642,17
1643,12
1644,17
1645,21
1646,0
1647,13
1648,9
1649,15
1650,3
1651,11
1652,19
1653,21
1654,21
1655,13
1656,20
1657,4
1658,10
1659,10
1660,10
1661,2
1662,0
1663,19
1664,18
1665,4
1666,1
1667,14
1668,12
1669,15
1670,5
1671,20
1672,1
1673,20
1674,11
1675,17
1676,17
1677,10
1678,19
1679,18
1680,20
1681,12
1682,16
1683,8
1684,8
1685,0
1686,18
1687,7
1688,19
1689,13
1690,12
1691,17
1692,20
1693,20
1694,0
1695,2
1696,18
1697,1
1698,8
1699,1
1700,20
1701,0
1702,17
1703,15
1704,1
1705,20
1706,18
1707,7
1708,4
1709,3
1710,9
1711,4
1712,20
1713,21
1714,10
1715,19
1716,10
1717,13
1718,14
1719,19
1720,14
1721,4
1722,13
1723,12
1724,2
1725,8
1726,19
1727,0
1728,8
1729,22
1730,14
1731,0
1732,13
1733,22
1734,3
1735,15
1736,0
1737,18
1738,0
1739,1
1740,1
1741,17
1742,10
1743,13
1744,13
1745,18
1746,8
1747,12
1748,17
1749,22
1750,5
1751,0
1752,15
1753,16
1754,20
1755,22
1756,7
1757,11
1758,15
1759,17
1760,5
1761,16
1762,22
1763,14
1764,15
1765,9
1766,9
1767,13
1768,13
1769,13
1770,21
1771,18
1772,3
1773,7
1774,3
1775,12
1776,14
1777,12
1778,14
1779,9
1780,0
1781,20
1782,21
1783,6
1784,15
1785,22
1786,20
1787,21
1788,1
1789,12
1790,14
1791,17
1792,15
1793,6
1794,20
1795,6
1796,4
1797,20
1798,10
1799,20
1800,9
1801,17
1802,6
1803,13
1804,3
1805,9
1806,11
1807,9
1808,16
1809,20
1810,22
1811,18
1812,15
1813,14
1814,22
1815,20
1816,17
1817,12
1818,19
1819,20
1820,11
1821,7
1822,7
1823,5
1824,2
1825,11
1826,15
1827,17
1828,2
1829,18
1830,14
1831,21
1832,21
1833,22
1834,5
1835,22
1836,5
1837,18
1838,19
1839,10
1840,3
1841,2
1842,15
1843,21
1844,15
1845,13
1846,9
1847,5
1848,5
1849,6
1850,8
1851,17
1852,18
1853,17
1854,9
1855,7
1856,9
1857,14
1858,10
1859,5
1860,9
1861,9
1862,16
1863,7
1864,11
1865,2
1866,6
1867,1
1868,9
1869,6
1870,17
1871,21
1872,5
1873,9
1874,9
1875,0
1876,19
1877,19
1878,9
1879,21
1880,13
1881,14
1882,12
1883,22
1884,14
1885,8
1886,10
1887,19
1888,15
1889,5
1890,14
1891,5
1892,17
1893,22
1894,8
1895,8
1896,14
1897,6
1898,16
1899,5
1900,11
1901,15
1902,22
1903,14
1904,21
1905,1
1906,5
1907,10
1908,17
1909,6
1910,13
1911,21
1912,21
1913,4
1914,15
1915,22
1916,16
1917,18
1918,18
1919,6
1920,18
1921,5
1922,7
1923,12
1924,8
1925,6
1926,17
1927,18
1928,22
1929,13
1930,2
1931,10
1932,6
1933,16
1934,22
1935,18
1936,17
1937,5
1938,1
1939,6
1940,12
1941,2
1942,15
1943,4
1944,21
1945,3
1946,4
1947,0
1948,15
1949,2
1950,1
1951,1
1952,9
1953,8
1954,13
1955,0
1956,2
1957,22
1958,22
1959,9
1960,16
1961,15
1962,19
1963,5
1964,13
1965,0
1966,15
1967,4
1968,13
1969,22
1970,13
1971,20
1972,9
1973,15
1974,8
1975,20
1976,8
1977,11
1978,5
1979,11
1980,18
1981,19
1982,7
1983,16
1984,19
1985,15
1986,9
1987,8
1988,6
1989,12
1990,11
1991,3
1992,1
1993,13
1994,13
1995,20
1996,7
1997,13
1998,14
1999,22
2000,7
2001,12
2002,13
2003,11
2004,15
2005,1
2006,7
2007,7
2008,18
2009,5
2010,9
2011,17
2012,19
2013,5
2014,10
2015,6
2016,21
2017,15
2018,4
2019,12
2020,10
2021,19
2022,16
2023,5
2024,0
2025,11
2026,22
2027,10
2028,22
2029,9
2030,3
2031,15
2032,10
2033,2
2034,8
2035,19
2036,0
2037,14
2038,19
2039,17
2040,0
2041,17
2042,16
2043,9
2044,22
2045,9
2046,15
2047,2
2048,7
2049,6
2050,16
2051,22
2052,16
2053,22
2054,17
2055,20
2056,15
2057,19
2058,16
2059,20
2060,1
2061,2
2062,11
2063,8
2064,20
2065,2
2066,12
2067,7
2068,17
2069,19
2070,18
2071,3
2072,9
2073,0
2074,12
2075,17
2076,0
2077,13
2078,21
2079,8
2080,2
2081,21
2082,16
2083,6
2084,3
2085,20
2086,21
2087,12
2088,14
2089,22
2090,11
2091,1
2092,0
2093,9
2094,11
2095,3
2096,13
2097,5
2098,15
2099,0
2100,19
2101,8
2102,17
2103,21
2104,18
2105,16
2106,20
2107,14
2108,7
2109,13
2110,22
2111,20
2112,12
2113,18
2114,19
2115,6
2116,0
2117,11
2118,8
2119,11
2120,17
2121,21
2122,1
2123,21
2124,16
2125,22
2126,14
2127,20
2128,17
2129,7
2130,4
2131,2
2132,9
2133,3
2134,7
2135,9
2136,19
2137,3
2138,12
2139,15
2140,16
2141,1
2142,12
2143,9
2144,22
2145,16
2146,7
2147,2
2148,10
2149,14
2150,2
2151,17
2152,18
2153,7
2154,12
2155,5
2156,17
2157,13
2158,5
2159,19
2160,7
2161,1
2162,6
2163,14
2164,7
2165,10
2166,5
2167,18
2168,14
2169,8
2170,1
2171,5
2172,5
2173,6
2174,16
2175,15
2176,9
2177,3
2178,2
2179,20
2180,4
2181,13
2182,3
2183,19
2184,19
2185,7
2186,13
2187,14
2188,7
2189,1
2190,12
2191,0
2192,15
2193,2
2194,1
2195,7
2196,10
2197,7
2198,16
2199,3
2200,0
2201,16
2202,10
2203,5
2204,21
2205,1
2206,6
2207,12
2208,17
2209,15
2210,10
2211,22
2212,6
2213,0
2214,16
2215,18
2216,16
2217,2
2218,9
2219,22
2220,0
2221,15
2222,2
2223,1
2224,4
2225,5
2226,4
2227,9
2228,11
2229,16
2230,21
2231,13
2232,14
2233,18
2234,12
2235,10
2236,1
2237,9
2238,0
2239,7
2240,11
2241,10
2242,11
2243,20
2244,10
2245,5
2246,17
2247,2
2248,8
2249,1
2250,22
2251,9
2252,22
2253,4
2254,15
2255,16
2256,22
2257,3
2258,15
2259,20
2260,17
2261,18
2262,7
2263,17
2264,1
2265,21
2266,3
2267,15
2268,6
2269,22
2270,6
2271,21
2272,4
2273,7
2274,13
2275,4
2276,0
2277,3
2278,7
2279,20
2280,13
2281,19
2282,15
2283,2
2284,8
2285,0
2286,13
2287,16
2288,18
2289,0
2290,21
2291,1
2292,17
2293,22
2294,2
2295,13
2296,14
2297,21
2298,13
2299,2
2300,7
2301,10
2302,13
2303,18
2304,2
2305,21
2306,16
2307,15
2308,3
2309,8
2310,16
2311,0
2312,4
2313,22
2314,4
2315,14
2316,18
2317,0
2318,5
2319,4
2320,16
2321,1
2322,16
2323,13
2324,19
2325,21
2326,22
2327,3
2328,21
2329,12
2330,7
2331,4
2332,6
2333,22
2334,19
2335,11
2336,11
2337,20
2338,9
2339,1
2340,11
2341,13
2342,2
2343,9
2344,18
2345,3
2346,7
2347,20
2348,13
2349,10
2350,2
2351,8
2352,18
2353,21
2354,15
2355,12
2356,19
2357,1
2358,17
2359,0
2360,2
2361,1
2362,16
2363,20
2364,1
2365,4
2366,2
2367,6
2368,2
2369,8
2370,20
2371,6
2372,22
2373,13
2374,1
2375,14
2376,10
2377,16
2378,17
2379,3
2380,19
2381,7
2382,0
2383,4
2384,0
2385,7
2386,7
2387,18
2388,10
2389,7
2390,18
2391,13
2392,7
2393,13
2394,6
2395,14
2396,20
2397,11
2398,1
2399,22
2400,9
2401,3
2402,4
2403,13
2404,12
2405,17
2406,11
2407,1
2408,6
2409,16
2410,7
2411,4
2412,18
2413,10
2414,21
2415,6
2416,3
2417,4
2418,4
2419,12
2420,7
2421,7
2422,4
2423,4
2424,6
2425,19
2426,12
2427,4
2428,13
2429,7
2430,8
2431,16
2432,4
2433,21
2434,18
2435,18
2436,2
2437,11
2438,11
2439,10
2440,4
2441,12
2442,4
2443,12
2444,17
2445,17
2446,9
2447,16
2448,16
2449,13
2450,12
2451,7
2452,16
2453,8
2454,9
2455,10
2456,22
2457,5
2458,0
2459,11
2460,6
2461,18
2462,6
2463,10
2464,21
2465,1
2466,10
2467,18
2468,8
2469,11
2470,21
2471,22
2472,6
2473,2
2474,11
2475,13
2476,22
2477,9
2478,0
2479,8
2480,7
2481,5
2482,4
2483,12
2484,18
2485,19
2486,14
2487,0
2488,14
2489,14
2490,9
2491,10
2492,0
2493,22
2494,12
2495,14
2496,0
2497,13
2498,7
2499,0
2500,15
2501,21
2502,10
2503,18
2504,6
2505,18
2506,13
2507,16
2508,17
2509,9
2510,3
2511,6
2512,20
2513,22
2514,17
2515,0
2516,6
2517,14
2518,13
2519,20
2520,19
2521,4
2522,19
2523,21
2524,1
2525,4
2526,16
2527,2
2528,1
2529,10
2530,2
2531,14
2532,18
2533,1
2534,21
2535,1
2536,20
2537,7
2538,16
2539,19
2540,18
2541,22
2542,16
2543,8
2544,15
2545,13
2546,22
2547,12
2548,15
2549,9
2550,19
2551,11
2552,5
2553,11
2554,15
2555,0
2556,3
2557,16
2558,20
2559,21
2560,3
2561,12
2562,14
2563,3
2564,8
2565,0
2566,5
2567,7
2568,17
2569,2
2570,18
2571,11
2572,15
2573,0
2574,9
2575,19
2576,12
2577,12
2578,6
2579,7
2580,1
2581,13
2582,17
2583,22
2584,21
2585,3
2586,21
2587,2
2588,7
2589,4
2590,2
2591,15
2592,8
2593,0
2594,17
2595,10
2596,6
2597,11
2598,1
2599,9
2600,8
2601,22
2602,18
2603,17
2604,16
2605,14
2606,21
2607,10
2608,20
2609,2
2610,16
2611,19
2612,8
2613,14
2614,15
2615,18
2616,10
2617,9
2618,3
2619,8
2620,16
2621,13
2622,0
2623,20
2624,7
2625,19
2626,15
2627,15
2628,2
2629,22
2630,21
2631,21
2632,4
2633,10
2634,1
2635,11
2636,20
2637,11
2638,10
2639,1
2640,7
2641,20
2642,15
2643,1
2644,8
2645,18
2646,9
2647,17
2648,2
2649,9
2650,12
2651,8
2652,6
2653,5
2654,1
2655,1
2656,22
2657,19
2658,4
2659,14
2660,6
2661,2
2662,5
2663,5
2664,20
2665,17
2666,13
2667,18
2668,15
2669,9
2670,7
2671,19
2672,10
2673,22
2674,19
2675,13
2676,1
2677,15
2678,10
2679,1
2680,19
2681,1
2682,11
2683,4
2684,8
2685,8
2686,16
2687,8
2688,0
2689,14
2690,5
2691,15
2692,13
2693,17
2694,0
2695,16
2696,2
2697,15
2698,10
2699,19
2700,0
2701,21
2702,22
2703,0
2704,11
2705,6
2706,16
2707,6
2708,5
2709,6
2710,1
2711,20
2712,18
2713,16
2714,7
2715,9
2716,5
2717,9
2718,2
2719,12
2720,8
2721,15
2722,18
2723,9
2724,14
2725,1
2726,20
2727,18
2728,16
2729,16
2730,12
2731,2
2732,4
2733,8
2734,21
2735,9
2736,2
2737,18
2738,7
2739,13
2740,0
2741,16
2742,5
2743,20
2744,4
2745,5
2746,8
2747,9
2748,15
2749,18
2750,8
2751,18
2752,7
2753,6
2754,14
2755,4
2756,3
2757,5
2758,22
2759,10
2760,15
2761,11
2762,0
2763,5
2764,20
2765,11
2766,19
2767,3
2768,3
2769,22
2770,15
2771,15
2772,16
2773,11
2774,16
2775,3
2776,9
2777,8
2778,6
2779,1
2780,9
2781,16
2782,18
2783,7
2784,22
2785,16
2786,1
2787,15
2788,17
2789,6
2790,10
2791,0
2792,3
2793,19
2794,3
2795,18
2796,6
2797,20
2798,19
2799,15
2800,10
2801,9
2802,0
2803,2
2804,1
2805,0
2806,3
2807,16
2808,15
2809,4
2810,3
2811,21
2812,18
2813,13
2814,1
2815,3
2816,3
2817,4
2818,8
2819,2
2820,8
2821,10
2822,15
2823,0
2824,22
2825,7
2826,9
2827,16
2828,7
2829,16
2830,12
2831,20
2832,19
2833,3
2834,22
2835,19
2836,7
2837,19
2838,0
2839,5
2840,16
2841,4
2842,4
2843,1
2844,8
2845,1
2846,12
2847,15
2848,16
2849,22
2850,21
2851,13
2852,15
2853,18
2854,20
2855,10
2856,12
2857,12
2858,21
2859,20
2860,12
2861,20
2862,0
2863,8
2864,12
2865,8
2866,16
2867,0
2868,10
2869,22
2870,1
2871,19
2872,8
2873,17
2874,16
2875,11
2876,3
2877,19
2878,16
2879,17
2880,9
2881,13
2882,11
2883,2
2884,8
2885,22
2886,9
2887,22
2888,10
2889,9
2890,19
2891,22
2892,14
2893,14
2894,20
2895,15
2896,13
2897,0
2898,21
2899,2
2900,10
2901,8
2902,6
2903,5
2904,15
2905,10
2906,5
2907,0
2908,21
2909,0
2910,12
2911,0
2912,5
2913,20
2914,6
2915,11
2916,20
2917,22
2918,19
2919,8
2920,17
2921,1
2922,21
2923,5
2924,20
2925,2
2926,8
2927,5
2928,8
2929,12
2930,13
2931,20
2932,12
2933,0
2934,9
2935,6
2936,4
2937,16
2938,19
2939,20
2940,14
2941,2
2942,8
2943,22
2944,20
2945,0
2946,12
2947,17
2948,3
2949,4
2950,10
2951,22
2952,7
2953,10
2954,5
2955,2
2956,8
2957,0
2958,20
2959,21
2960,3
2961,9
2962,7
2963,0
2964,0
2965,8
2966,7
2967,0
2968,21
2969,18
2970,17
2971,11
2972,18
2973,4
2974,8
2975,22
2976,20
2977,19
2978,18
2979,19
2980,17
2981,14
2982,6
2983,17
2984,1
2985,17
2986,20
2987,4
2988,3
2989,1
2990,19
2991,5
2992,14
2993,10
2994,22
2995,19
2996,18
2997,12
